kelime,anlam
deyak,destek
putün,bot
Asaca yıkımek,Baş önden yıkamak
puar, çeşme
dirid,et suyu
ıramedlı,rahmetli
tevlib,hububat değirmeni
böyük,büyük
mevra kesmak,sohbet etmek
kesmik,i̇ri saman taneleri
ake,arkadaş
gökgülü serı,göğüs kısmı sarı olan küçük bir kuş türü
eysiren,kesici
cıbır,yoksul
ecünnü,cin
tırpan,ekin biçmede kullanılan aygıt
kesmük,saman karışımı
zıvıtmek,cıvık hale getirmek
çeğiz,gelin ceyizi
tasbi,makigillerden bir bitki
carez,leblebi
avermek,evlendirmek
Bedrik,Pamuk ipliği
dokgek,şapka
aşgi,salça
Alma,Elma
çılmıg,i̇nce çubuk
capıd, bez parçası
tazo,tazı
Göllame,Mısır haşlama
i̇t dirseği,arpacık
eşlama,meyve ağacına aşı
kekra,çalmak (tadının ekşi veya acıya yakın olması)
densiz,uygunsuz
hela ki,i̇yiki
fışırtmak,fırlatıp atmak
Ahe,İşte
çemrenmek,paça sıvamak
oğnüg,önlük
tar'naşı,Tarhana çorbası
bi̇bi̇,hala
seku,pardesü
alemaşkera,alani
enni,geniş
dingok,baykuş
pısgılet,bisiklet
cıngı,kıvılcım
kah,elma kurusu
Efandiağa,Amcaoğlu
soğukkuyu,kara lastik ayakkabı
hemi,öyle mi
cöğlenmek,bir tarafı eğilip devrilmek
pasug,zayıf cılız çocuk.kısa
baci,bacı
alleşmek,ilişmek
çinke,küçük parça (saydam taş için de kullanılır)
silebce,abdest kabı
date,tahta
Gelet,Bisküvi
hış,köpek tasması
çurok,hindi
edveren,yardım etmek istemek
kurik,yeni doğmuş tay
bozçalamag,hafif karıştırarak pişirmek
kömpe,kalın çörek
dikaç,ağaçtan yapılmış kazık
keyveni,ev hanımı
çırık,yeni gibi (civciv)
cezı,suratsız
evlu,boşluk
sırpıncak,kaygan
Fitoz,Sevimli
gotdoz,dik kafalı
leçek,başörtüsü
bange,banka
kelep,kolye
dalema,topaç
zaar,herhalde
pöğe,örümcek
GurraGurre,Kibirli
leyli,salıncak
gıntırmak,kapıyı hafif aralık kalacak şekilde kapatmak
tintirik,fiske
bişgal,çabuk pişen yiyecek veya iyi pişmiş yemek
pürpürüm,semizotu
partelçı,palavracı
hülla,hille
gızmak,kızmak
gotan,tarla sürücü
aligupter,helikopter
tıkdık,hapsettik
yal,köpek maması
dığ,harman yerindeki saman yığını
lüllük,musluk
yaşillik,bahçe(bağ)
bene,bana
eloca,çulluk kuşu
bartaş gurmak,oturma şekli
am,merhem
içık,az
müsürlük,yemlik
fıkgare, fukara
babalanmag,zıkkımlanmak anlamında yemek
haype, eşya çantası
pıngel,yumurtalık
palver,salça
tevıriya,oraya
gıtık,keçi yavrusu
tejkere,gübre taşıyıcı
yüglük,depo
hamzen,tereyağı saklanan kap
damlelık,çatıların alt kısmı
çürük ayı,temmuz
dudmaç,erişte ve ev makarnası çorbası
tevir,çeşit
Kıstırkeç,Saç tokası
tehne, el bezi
zürriyet,döl
takir,tekerlek
kırpeç,hayvan sopası
bildir, geçmiş yıl
Pımpır,Topaç
ecans, haber
kavşemek,geviş getirmek
taleba,öğrenci
Gölleme,Mısır haşlama
gağercık,zakkum
ahan,işte şu
geggeli̇mi̇n,geliyecek misin?
angod,aptal
göbeleg,mantar
ganere,doymak bilmeyen
denizlig,pencere cam önü beton
çüvan,davulun tokmağı
fesilye, fasulye
tonanmak,giyinmek
gıyıh, büyük iğne
hafifletmak,yük hafifletmek
abdasklık,lavabo
dehna,el bezi̇
hartlep,kocayemiş
capak,göz iltihabı
kiren,kızılcık
Kuyruklu,Akrep
Levur,Etkileyici kokusu olan yabani bir ot
zerza,kapı demiri
çirderme k,bacaklar açık bir şekilde çömelmek
Cuç,Bataklık
Guzzik,Kambur
Apdılleh,Abdullah
yımırda,yumurta
lığlamag,yavaşça ve keyifli bir şekilde
yalım,galiba
güvermek,yeşermek
tiğsirmak,hapşırmak veya (bir bitkinin filizlenmesi)
aşma,kaysı kurusu
cemkirmek,ağız dalaşı yapmak
eka,arkadaş
kavorga,kavrulmuş buğday
hıdap,pide çeşidi
botiya,önlük
yaslağeç,kalıp
musmol,helal
tapan,düzleme aracı
güveği,damat
malamat olmek,rezil olmak
Çikelek,Yaban çileği
Galak,Tezek yığını
tamin,önce
iclik, iç çamaşırı
çağıl, tarladaki taş-kaya yığını
angez,büyük
çont,lastik çizme
Godik,Köpek yavrusu
özelemak,yoğurdu karıştırarak ezmek
arış ağacı,asma ağacı
fırd,yudum
lüllüg,musluk
Bölme,Büyük tepsi
gülla,bilye
Ağhır,Son kişi
zobur,i̇nce ince yağan hafif yağmur
ceytag,yalnız
dalag,bal peteği
cirpindi,maki türü
doz,tuz
sigga,zincir
çimmek,yıkanmak
kenayag,kadın
ayatse,yavaş yavaş
çeçcal,çok yaramaz çocuk
eylanmek,oyalanmak.vakit geçirmek
kıcır,yeni
sago,pardesü
puyde,buğday
ukumek,davet etmek
ferımak,yaşlanmak
yazme,başörtüsü
küllük,tuvalet
mısmar,iri çivi
Ahe,İşte
tosten,human pisliğiyle beslenen bir tür böcek
hortoglu,sümüklü
talab,çiftleşmeye hazır dişi hayvan
lipiye,taze fasulyeden yapılan bir yemeğin adı
cetal,kuş sapanı
evlürür,yeterli
ekinci,güneyli.güneyde iç bölgelerde yaşayanlar
eze,teyze
cemkürmek,azarlamak
arguru,paralel
Iltız,Yıldız
dangırmek,yüksek sesle konuşmak
cücük,civciv
totapa,hizmetçi kız
böla,böyle
henim hinçik,şimdi
bi garış aralen tikcasin,bir karış ara ile dikeceksin
Gezde,Gazete
giran kiresice,soyun sopun kurusun
eşe,ayşe
çaç,savrulan samandan ayrılmış buğday yığını
cırmag,kök.ağaç kökü
küflet,ev halkı
çağil,tarladaki̇ taş-kaya yiğini
acçük,biraz
todalik,çalıkuşu
dometi̇,domates
halep garası,yeşil karpuz türü
gartuf,patates
cegkıl,zincirli iki ucuna kova takılan uzun çubuk
aski,çamaşır
zunna,zurna
firek,anahtar
beleş,bedava
evza,kibrit
uylaştırmak,barıştırmak
bellemak,toprak işlemek
irkalamak,i̇lgilenmek
gup,koş
arpacık,gözde çıkan sivil.ekilecek küçük soğan
malamad olmak,rezil olmak
ekinci,güneyli.güneyde iç bölgelerde yaşayanlar
ekada,agida
kıdig,oğlak
Neneşte,Nişasta
yel,köpek yemeği
marebe,tarım işcisi
şipbak,kısa
vemiş,varmış
enig, köpek yavrusu
cimmek, duş almak- banyo yapmak
tinkitmak,sıçratmak
palader, armut reçeli
çaspar,çapur
albiz,örümcek
urum,Anadolu
dasen,demek söylemek
çölpeşig,becereksiz
cilbır(cilpi),hayvan yuları
garakura,kabus
Çetı,Alın
ellame,dokunma
allancak,hamak
sille,tokat
ganat,merdiven
gülve,tandırın hava deliği
göbak, mantar
sürküç,bez
puymek,üşümek
mısmar,iri çivi
çobur,çiçek bozuğu cilt
zillenmak,filizlenmek
kartol,patates
örtma, koridor
harar,yünden dokunmuş çuval
upruch,ibrik
pal bel bakmak,aptalca bakmak
çepkan,yağmurluk
puğuz,eziyet
tosbaa,kaplumbağa
Epü,Aman
elinden kör eşşek yin yimez,hiçbir işi başaramaz.
hakos,tarla sulama arkı
kahpe,kahpe
kiral,kiler
çagçavi,dam camekanı
beked,bereket
sokum,lokma
mekteb,okul
küflat,ev halkı
çantak,ağaç dallarının birbirinden ayrıldığı yer
heçen,ne çabuk
gamandı,karışım
dankadak,aniden
poyuna,sürekli
arpa,araba
firig,yemek için ateşte çok hafifçe ütülenen taze hububat
cırbağa,cılız
deberdmek,karıştırmak.debelemek
fırdmak,küsmek
kurug,eşşek sipasi
kevi̇k,yamuk
pace,gece
pibi,hala
ellem,galiba sanırsam gibi bir şey
çemel,duvar
motur,traktör
efa,ababay
Gudte,Büyük zar
Çapıt,Bez parçası
kevi̇k,yamuk
alef,hayvan yiyeceği
gılıgsız,giysi kuşamı uygun olmayan
eksük görmak,ihtiyaç almak
dirgen, ot çatalı -(araç-gereç)
tosnamag,somurtmak
Geçen ğhere kalsın,İyi geceler
kagılı,çok
ayagyulu,tuvalet
cat,orta yer
omme,lohusaların göğüslerinin şişmesi
amek,yemek
çindar,mantar
esbap,çamaşır
dıngırık,çinko parçası
Cırnağ,Tırnak
Ihı,İşte
ciyiş,yakın akraba veya komşu yaşlı kadın
gave,kahve
çemce, yemek kepçesi
gaykana,omlet
fittik,ağaç kabuğu düdük
aşmak,geçmek
tohlo,bir yaşında erkek kuzu
kelben,kadınların süs olarak kol üstüne koydukları kumaş parçası
gıyıh, büyük iğne
hırhız,hırsız
cırbeğa,cılız
mehla,mahalle
göme,yığın
Berf,Kar
karanloh,karanlık
bayahdan,biraz önce
Cığız,Oyunbozan
anışdırmak,anlaşılması için dolaylı yoldan hatırlatmak
fengire,kirmen
sede,sadece
dadanmak,alışmak
hetircak,tandırın üzerine konan demir
aşamla,akşamleyin
dahre,küçük çalıları kesmeye yarayan alet
hıtap,pide çeşidi
cıvcıg,serçe kuşu
bazmek,usanmak
sedira,ceket
zenne,kadın
güdürük,tereyağı gibi yiyeceklerin konduğu toprak kap
ehacuk,i̇şte
Pidil,Buzağı kursağı
abegümeçi,yemeği yapılan yabani bitki
kazel,kuru yaprak
Bamek,Parmak
bibi,hala
Bişga,Kibir
koma,ikinci eş
gilden tes,(anlamı belirtilmemiş)
kilavadar,üzüm asması
çivid,çekirdek
ovmaç,yufka ekmeğin parçalanmasıyla yapılan yağlı yemek
büsumuk,bunaltıcı.sıkıcı kapalı
çikeyo,çıkıyo
Gayğane,Yumurta yemeği
çilli,yüzü gözü benli
ayrıksı,uyumsuz
dinelmak,ayakta durmak
Farig,Piliç
donenmak,giyinmek
agede,agida
dene,buğday tanesi
bişirim,pişirimlik
deza,Teyze
zağar,sağır
Memır,Memur
ersün,hamur keseceği
i̇lenger,yayvan bakır kap
cümbürcemat,kalabalık
hafiflatmak,yük hafifletmek
melamet olmak,rezil olmak
cılbı,doğrultu
çibra,yazı yazma ucu
Hacen,Madem ki
cezgır,çok konuşan
dürzü,yaramaz insan
zevla,sopa
iramag,uzaklaşmak
dizma,tahtadan oda bölmesi
Pencire,Pencere
çöğlanmek,devrilmek
güdürük,tereyağı gibi yiyeceklerin konduğu toprak kap
şibidik,terlik
mevzar,kırıkkale piyade tüfeği
cahdetmak,azimetmek
çoloğ, hayvan bağı
hıdtı,acur çeşidi
çınkıl,küçük dal
yeyo,Yiyor
şibitik,terlik
Cocul,Civciv
yarımağız,i̇steksiz
Gağ,Kurutulmuş meyve
şişek,yaşına değmiş dişi koyun
galleba,yenge
cuvere,sigara
Yümak,Yıkamak
zıren,azgın kimse
pörtlak,dışa taşan iri göz
hamayıl,muskalı kolye
persı,baca başı
abrimek,erimek
kutefa,bir çeşit sepet
ecii,acur
fıragtı,çubuklardan örülmüş çit
barf,kar
kasnak,kaldırım
gödüme,götürme
bel,çatal ağızlı tarım aleti
comça,büyük tahta kepçe
pisad,iç çamaşır
egınmak,kayak
kartol,patates
vizzu,huylandırmak
i̇çma,ilıca
balcan,badılcan
saki,basamaklı bölüm
kaya,kaya
metek,dişi manda
getdam,parça kadar
yürek yavii olmak,telaşlanmak
Bişga,Kibir
çedil,fide
engür,üzüm tanesi
yemalık,yama
geçe telen,çok kuvvetli ve devamlı yağan yağmur
pürpürüm,semizotu
arzem,gerekli.lazım
Batama,Köy evlerinin önündeki sofa
cecçal,çok yaramaz çocuk
he,evet anlamına bir ifade
zerze,kapı demiri
yazma,başörtüsü
loş,düğün yemeği
deke,erkek keçi
Galak,Tezek yığını
cırbağa,cılız
baba yiyeysiçe,çocuklara kızınca söylenen söz
gabağ, kabak
bunar,pınar
pag,yıkık bina
pi̇rçekli̇,havuç
çeçik,tülbenti başın etrafına sararak bağlama tarzı
gi̇ti̇vemek,gitmek
"""cıvık""""""",oynak
Gecen ğhere kalsın,İyi geceler
ütee,kalıp
gatın,kadın
bundan galli,bundan sonra
Gültombak,Şeftali
Efsena,Saf kişi
şamar,tokat
iccak, sıcak
efsi,ucu yanmış odun
gork,kuluçkaya yatan tavuk
Balen,Dağ eteği düzlüğü
püsumuk,bunaltıcı.sıkıcı kapalı
ayagca, merdiven
hoyrat,sevimsiz kötü
Pançire,Pencere
pun,bunalma hali
medeg,dişi manda
cari,çabuk
balemak,çocuğu kundağına sağıp yatırmak
luk,si̇li̇ndi̇r
çarşot,casus
divrin,bir ağaç türü
musluk,kabak
İfdari,Eğrelti otu
Fenti,İskambil
emiceklik vermek,umut vermek
çidduk,küçük sevimli çocuk
çancük,kapı kilidi
herif,adam
seglim,sanki
martek,kereste
Gero,Ambar
sırd,üst baş
aşek,yünden ip yapma aracı
daz,çabuk
Şevdali,Şeftali
malamad,rezil olmak
Memır,Memur
bon,sıkıntı
gırklı,loğusa (yeni doğurmuş hamile kadın) bir hanımın ilk kırk günlük dönemi
cimber,harabe yer
Cecık,Salatalık
gahırdak,koyun kuyruğunun kavrulmuşu
lemerme,nemlenme
yangepuz,yaramaz
dekna,Hamur kabı
kabıklı,yabancı;gavur
çöveşlig,kışın güneş gören kuytu yer
yüz yavoncusu,yalancı dost
gökgülü sarı,göğüs kısmı sarı olan küçük bir kuş türü
fermanı kesilmek,güçsüz düşmek
sorudmak,ayakta durmak
tüngümek,zıplamak
Elaf telef,Zayıf
parsı,baca başı
görümceğız,küçük görümce
Lifoz,Dağ çileği
güz,sonbahar
dazırtledma,hava gönderme.yellenme
bıldır,geçen yıl
düllüg,çocuk düdüğü
Bijbijli,Sivri uç
kazal,kuru yaprak
luğ,düzleştirme taşı
çattüğüm,kördüğüm
tırrefa,alıngan
demdıra,halk ozanlarının çaldığı telli saz
kemgi,Zayıf
Döşek,Minder
urum,Anadolu
galcem,geleceğim
fak,fare kapanı
katag,çivi
alef,hayvan yiyeceği
küncü paalası,susamları sapıyla beraber kurutmak için bağlanmış hali
Nişannı,Nişanlı
cermik,kaplıca
tav,dağ
marek,ot deposu
muzu,domuz yavrusu
tentene,dantel
Sırık,Uzun boylu
soharıç,kavurma
enacı,tarım amelelerini organize eden kişi
Potin,Çizme
tabmek,ayakla sıkıştırma
kayma,lira
bezirgân pilevı,etli bulgur pilavı
toh,köpek tasması
rahmet,yağmur
Bişi,Hamur kızartması
ekınmak,kayak
mısmar,iri çivi
Bıçğı bışğhı,Testere
hiriğ,eski̇mi̇ş ayakkabi
tom, tarla sınırı
buğön,bugün
zarhe,buğdaydan yapılmış kuru gıdaların tümü
gödürüvü,götürüver
förtletmak,ateşte kaynatmak
akren,adaş
halka,simit
Pileki (Bileki),Üzerinde ekmek pişirilen ocak taşı
goşu,komşu
ayıtlamak,ayıklamak
gehle,bit
anrıbaneri,belli belirsiz
mah,al
cininde,omuzunda
herslenmek,sinirlenmek
Bınıvız,Sinsi
Düdük gibi,Dar
çilbirtin,ağıl yapmakta kullanılan akdeniz tipi çalı
küvermek,yeşermek
zini,tepsi
sıtkım sıyrıldı,tiksindim
Goçik,Kaban
düve,dana
sürkü,kilit
gelah,tezek yığını
tav,kıvamına gelmek
ersoz,utanmaz
givra,kirve
sako,ceket
Güveyi,Damat
helle,un çorbası
sindik,civa sülfür
geviş,memeli hayvanların yattığı yerden aldığı besinleri yeniden ağzına getirerek çiğnemesi
töve,kalas
Hoşaflize,Kertenkele
hozu,kanı soğuk
Gurdoşka,Uzun gömlek
zemhari,kara kış
kızmak,kızmak
kardol,patates
gi̇di̇şdi̇,kaşındı
dunatmak,hazırlamak
gadık,yağsız ekşi ayran
cıtma,fiske
çingen,çingene
gevanda,geveze
eşmak,geçmek
evçülük,çocukların aile oyunu
demra,egzama
Çapıt,Bez parçası
puymuş,donmuş
çapag,göz iltihabı
Alışkın,Alışılmış
Gocana,Yenge
dıktıg,hapsettik
ayrık,yabani ot
düremeç,ekmek arası
gı,kız
bıllak,parlak
daynek,sopa
cılkıtma (cığızlama),oyun bozma
muzik,buzağının büyüğü
evlürür,yeterli
förtledmek,ateşte kaynatmak
garimca,karınca
eğercek,yün iplik eğirme aleti.kirman
Ağartı,Süt ürünleri
dantik,eğri büyrü
bodiye,önlük
yanıkara,şarbon hastalığı
medak,dişi manda
badimli,parasız
issi,sıcak
Yogarı,Yukarı
goo atmeg,dedi kodu etmek
farımak,yaşlanmak
Cuvare,Sigara
mazanni,kötü huylu
çınkıl,küçük su kapı
cünüd,bataklık
tellek,tellak
cun,kalça
can çıktı, tarlada 5 çayı
Anneşme,Anlaşma
bacılık,ahret kardeşliği
höllük,bebeğin altına konan killi toprak
kolleç,kadın ayakkabısı
anki̇ne,ona
şurd,tandır kenarı
ekırba,akraba
lüllük,musluk
hanag,şaka
goşhena,ağzı kapaklı
kürsü,tandırın üzerine konan masa
köğünmek,hararet nedeniyle kumaşın renginin atması
eksük körmak,ihtiyaç almak
giyoğu,damat
Pusat,Elbise
pile,beraber
cupbalak,bülbül cinsi böcek yiyen bir kuş
boyme,üşümeden dolayı donacak hale gelme
cadal kapı,i̇ki kanatlı avlu kapısı
palazımek,oluşmak
gacıl,çekil
sınmak,kırmak
atebsüz,terbiyesiz
Ayam,Hava durumu
küdük,kısa boylu
işmer,göz kırpma
cılkıtma (cığızlama),oyun bozma
melıh,odun parçası
gaved,değersiz adam
espep,çamaşır
Hade,Hadi
dega,tahta çardak
Hızar,Büyük testere
Gorduşka,Uzun gömlek
göcek güpre,buğdayların göceklemesi (çoğalması) için atılan gübre
baslek,besleme
boğuz,eziyet
arkurulemeg,yan tarafa doğru gitmek
farimek,çok hafif
çiğirt,çekirdek
yelak,kap
tokkaç, yün ve çamaşır dövme tahtası
kadın,kadın
horanda,ev halkı
huyrat,kaba
dangırmak,yüksek sesle konuşmak
culug,hindi
püzük,toplu
oynaş,dost
henay,yüksek ev
geggalen,gelen
tudmac,kesilmiş hamur
Nane,Nane
Berinnemeg,ürperti
buşe,peçe
Gedik,Sokak arası
evrağaç,yufka ekmeği çeviren ahşap yassı tahta
fıkkera, fukara
seyip,başıboş
açasız,ansızın
marabe,tarım işcisi
mılcıma,çürüme
Ahırı,Sonu
güdüg,kısa boylu
gıdıg,keçi yavrusu
zoba,dayak
solok,hamam havlusu
collo,varlıklı
çükündür,pancar
leyli,salıncak
nourek,ne yapalım
beden tibi,sur dibi
camız,manda
önkü,şu
beçı, kız kardeş
kınnab,kenevirden yapılan ip
dıke,çocuk
cırıtla,hamur işi yağda pişen lokma
kapanak, kelebek
Ereg,Açık alan
şişmak,şımarma
pırtıcı,manifaturacı
kövrek,tohum
demek,delik
ustun,tavan
kamçik,ağzı çukur ve içeri çökmüş gibi görünen
puhari,baca
Heçça,Hatice
kağirmak,bükmek
guçur,kısa boylu
avuz,ilk süt
tomman,don
pantul,pantolon
evlürür,yeterli
yazdırçan,Yazdıracağım
Güvayi,Damat
camoz,manda
ülaş,hayvan leşi
imdaan,sınav
Ülaşmek,Paylaşmak
fâk,fark
Gavce,Çengel
yaryumurtası(kumpir),patates
Benk,Cilt lekesi
şaremet,eli çabuk
ebçim,becerikli
pedimli,meteliksiz
gavleğan,çınar ağacı
hörselenmek,sakarlıkla ortalığı dağıtmak
yular,at-eşşek baği
eyelama,koruma
gartupu,patates yerelması
tırıb,çok pek çok
nemâreg,boşver
anedut,üç parmaklı tarım aleti
dilden,kıskaçlı böçek
pesleg,besleme
Göcag,İplik makarası
avud tökmek,ağlamak
kenlı,katil
havflenmak,korkmak
çininde,omuzunda
helig,küçük taş parçası
malamat etmeg,rezil etmek
nakes,cimri
tusbağa,kaplumbağa
Abe,Ağabey
çörtüg,yabani küçük armut ağacı
çıngı,kıvılcım
çöpüntürük,çöğr çöp
Belli,Bilinen
mae,uzun ağaç
Kıntışlı,Rüküş
gekirdag,yağ
bar,beyaz küf
adlı,edepsiz
cılım,oyundaki kişinin oyun bozması
tofren,turfan
belertmek,gözünü iyice açmak
Biçin,Biçilmiş ot
çiğin,omuz
cakü,yazma
alegçi̇,çi̇ngene
hemecik,bebek oyuncağı
gargül,kaldırım
afor,ahır
hüs,sus
allak,fitne-fesat
karemok,i̇çi çürük fındık
paldıran,yabani bitki
Lazıt,Mısır
humayin,bez
dahre,küçük çalıları kesmeye yarayan alet
Eğerçak,Yün eğirmeye yarayan alet
mayıs, büyük hayvan dışkısı
çi̇mmek,banyo yapmak
serpin,ambar
çetal kapı,i̇ki kanatlı avlu kapısı
tar,tavuk oturağı
kuzzig,kambur
sınıkçı,kırıkçı
ürma,havlama
akidaş,arkadaş
aper,götürmek
Limande,İkiz
cilli,yüzü gözü benli
padılçan,patlıcan
fırfırik,fırıldak
encamı,toplam.topu topu olancası
peca,dam
çitimek,sökükleri dikmek
niniyesen,sanane
yassu,yatsı vakti
cılkıtma (cığızlama),oyun bozma
öllük,bebeklerin kundaklarına ısıtılarak konulan çok ince killi toprak
davrisi gün,ertesi gün
Limanda,İkiz
Değirmi,Yuvarlak
nalbaki,küçük bakır tabak
etlama,ayıklama.fındık ocağını budama yapmak
dadlı,tatlı
gağarcıg,zakkum
bayahtan,biraz önce
tuglu,erkek koyun
güf,çocuk başlığı
pin,kümes
Bega,Hayvan yemlik yeri
mevgunad,römork
âşa,ayşe
yomak,yıkamak
âtikla,boşu boşuna
anük,yavru
Eringen,Tembel
cullu,varlıklı
baci̇,kiz kardeş
hınkel,mantı
ucun ocun,azar azar
i̇leğen,leğen
cebellaşmek,tartışmak
çırtlık,küçük çalı kuşu
tenhe, ıssız
bagkal,bakkal
arsınmek,utanmak
tansiz,uygunsuz
iz,çok az
gumbir,patates
çangal,çengel
cemüt,dut kurusu
ebelig,ebe gümeci
gidi,kozalak
gıcır,yeni
Erek,Açık alan
gâsi̇ma,karşıma
dikeç,ağaçtan yapılmış kazık
teyun,diyorum
mah,al
höllüg,bebek toprağı
gelar,Kertenkele
gaban,yamaç bayır yamaç
dıkdık,hapsettik
çemüd,dut kurusu
hoşarlenmak,hoşuna gitmek
tırkez,destek
ebegümeci,yemeği yapılan yabani bitki
tüzgaç,kalem açacağı
nane,nine
kusoğo, tutuşmamış tütmekte olan kalın odun
harif,bey
Daşgeleri,Yapışkan
Gazde,Gazete
doragu,bekle
ekuru kitme,yamaç yerde düz gitme. paralel
perga,kayisi
kali,artık
kirtilini çıkarmak,i̇liklerini sökmek
lobiya,yeşil fazülye
işlig,gömlek
gedingeyange,amca
ariş,üzüm asması
kizir,ağız yapabilen kişi
kanne,cam
tutmac,kesilmiş hamur
mosluk,kabak
dinalmek,ayakta durma
tıtdırıbıztık,baldırı çıplak
avran,ejderha büyük yılan
Derekep,Hemen
somatını sıkmak,boğazını sıkmak
Bi,Bir
kariş,karış
gılıksız,giysi kuşamı uygun olmayan
bibi,hala
gercag,gerçek
gıçır,yeni
kıdik,keçi yavrusu
çömce,kepçe
çıpan,büyük derin sivilce
bidduma,azıcık
cerez,leblebi
çakişmeg,ağız kavgası
dartılmak,kibirlenmek. dartıla dartıla iş görmek: yavaş ve salınarak iş görmek
dam, çatı
tumman,don
aktarmek,sacın üzerinde yufkayı döndermek
gayme,kıyma
karsamba,fazla olan eşya
havle, helva
cimbar,harabe yer
dingildemek,oynamak
gözal,güzel
sagu (sahu),ceket
gosoğu, tutuşmamış tütmekte olan kalın odun
koruk,olmamış üzüm
kepkebi,i̇ri başlı ufak demir çiviler
i̇lec,bahis
hakgat,hakikaten
tonatmek,hazırlamak
serkan,raf
hıllangac,salıncak
dudeg,kulpsuz elbezi
feşel,yaramaz
nerdank,salça
i̇lenme,çığlık atma
zogu/soko,büyük taş dibek
förtletmek,ateşte kaynatmak
tevıriya,oraya
dekmük,tekme
Bicki (bıçkı),Odun kesmeye yarayan testere
İlik,Düğme
işlik,gömlek
müsürlüg,yemlik
dişemak,biyeleme
cek çek,kesme
cibpik,alkış
Iraz,Raziye
razu,razı
Çimmek,Yıkanmak
çömez,acemi
terkemek,bırakmak
Derekep,Hemen
doklu,erkek koyun
zahar,sanırım
potün,bot
tırkaz,destek
kocapeş,şekerpancarı
Cadi,Yağcı
biyu,bir kere
mırık,neşe
ülaş,hayvan leşi
teli depek,dengesiz
devun,zehir
kavurma herlasi,unu yağda hafif kavurup
mehat,sedir
log,si̇li̇ndi̇r
zarzebil,perişan
hırhız,hırsız
hullaçelik,çelik çomak
epe(y),hayli
cıpıldek,çıplak. yoksul
arlenmak,utanmak
Ihı,İşte
ferfara,geveze
fırfırik,fırıldak
dapme,yün çuval
Fizzah,Bağırma
kayve,kahve
ter'naşı,Tarhana çorbası
fing atmak,koşturmak
azmen,melez
Payande,Desteklemek amacıyla yanlardan dayanmış direk
hangırda,nerede
işgilli,alıngan
küncü baalesı,susamları sapıyla beraber kurutmak için bağlanmış hali
aşıkatme,yarışma.rekabet
çumeg,kısa çubuk
bağdaş kurmak,bacaklarını dizden bükerek altına alıp oturmak
gı,kız
akunduz,geniş yapraklı yabani bitki
hış,köpeklerin boynuna takılan demir
ütma,ateşte pişirilmiş kurumamış buğday başağı
grap,yazma
aşgi,salça
bi hamle,birden
dav,dağ
Harer,Büyük çuval
cünüd,bataklık
keli,artık
garabaşlarıma gelen,ah bu başıma gelen
hulh,hal
çölüg,küçük ağaç parçası.kuru ince dal
Lenger,Tabak
dudmaç,kesilmiş hamur
Gavın,Kavun
evi̇nsi̇z,içi̇ boş ürün
bastak,övünme
Analis,Yumuşama
gudik,köpek yavrusu
bilader,kardeş
keşig,sıra
tufran,turfan
barf,kar
gepmek,dik duran bir şeyin yıkılması
kıtıg, keçi yavrusu
çoşder,laf getirip götüren
hış tar,aşırı terlemek
ürme,havlama
annag,meydan
çibra,yazı yazma ucu
tantana,boş laf
sağdıç,arkada�
aza,teyze
yallık,küçük çocukların önlüğü
kıdıg, keçi yavrusu
zillenmek,filizlenmek
cerez,leblebi
yular, at-eşşek bağı
dörameg,üremek
lülük,bir sıkımlık köfte
evsi,bir kısmı yanık odun parçası
Ağıl,Hayvan barınağı
gayi̇nnem,tevekkeli
bezirgân pilavı,i̇çine soğan
patıl,geçersiz
yavuklu,nişanlı
mırıh,yarık dudak
dangırmak,yüksek sesle konuşmak
halap garası,yeşil karpuz türü
mundar etmak,ziyan etmek
yasso,yatsı vakti
Langi,Uçurum
ferımak,yaşlanmak
gaftar,sevimsiz ihtiyar
emiceglig vermeg,umut vermek
haçan,ne çabuk
alayı,hepsi
aborcubor,karışık
eşgana,mutfak
abrul,nisan
gındırmak,kapıyı hafif aralık kalacak şekilde kapatmak
çimmeg, banyo yapmak
nâlat,lânet
talpuş,kulaklı bakır kap
sertmak,gezmek
Hızan,Çoluk-çocuk
Dampaş,Çatı
kıdıg,keçi yavrusu
gaygana, omlet
hırhız,hırsız
Ace,Acaba
aynı gelmak,cevap gelmek
erık,zayıf
bıyıl,bu sene
donatmak,hazırlamak
Irabpım,Rabbim
maşrapa, bardak
gümenli,hamile
cöğmek,yere eğilmek
sayir,dilenci
helik,küçük taş parçası
dıvrak,yakışıklı
govvadlı,kuvvetli
gozzig,kambur
mae,uzun ağaç
hezen,kalın direk
babe yiyeysice,çocuklara kızınca söylenen söz
çırpi,çalı
dorum,altı aydan üç yaşına kadar olan deve
huzolu masraf (fuzuli),gereksiz yapılan harcama
dutarga,sinir krizi geçirme
sıtıl,kova
aporle,hoparlör
eğa,ağabeyi
merşün,deri
aaşamotu,akşamüstü
kancık,sözünde durmayan
yelım,galiba
cinken,çingene
hoşarlanmak,hoşuna gitmek
culluk,hindi
uğondurma tutturmeg,aç bırakmak
zıttıne gitmek,hoşlanmamak
gıyıh, büyük iğne
düğülcek,ince bulgur
Cemse,Askeri araç
vazaleh,ukala
gızen,efelerin yanlarındaki genç yaşdaki yardımcıları
Sallankeç,Salıncak
culok,hindi
kırbaç,hayvan sopası
ahrez,dilsiz
dıreş,uzun boylu
çığrık,çıkrık
